002jq3h2kam.mp3,Palauan,1
002jq3h2kam.mp3,Pijin,2
002jq3h2kam.mp3,Korean North,3
004ozeoaqpu.mp3,Alladian,1
004ozeoaqpu.mp3,Anufo,2
004ozeoaqpu.mp3,MofuGudur,3
00cy5diax22.mp3,MofuGudur,1
00cy5diax22.mp3,Kera,2
00cy5diax22.mp3,Kui,3
00gyhmwthgi.mp3,Wichi Lhamtes Nocten Weenhayek,1
00gyhmwthgi.mp3,Huambisa,2
00gyhmwthgi.mp3,Terena,3
00j5oli4djc.mp3,Lobi,1
00j5oli4djc.mp3,Adiokrou,2
00j5oli4djc.mp3,Jola Kasa,3
00jkhlfqj5b.mp3,Totonac Highland,1
00jkhlfqj5b.mp3,MofuGudur,2
00jkhlfqj5b.mp3,Romanian,3
00l4k2mdz3n.mp3,Themne,1
00l4k2mdz3n.mp3,Vai,2
00l4k2mdz3n.mp3,Cakchiquel South Central,3
00oif1f1byn.mp3,Marba_Azumeina,1
00oif1f1byn.mp3,MofuGudur,2
00oif1f1byn.mp3,Peve,3
00qzn4joqpq.mp3,Bora,1
00qzn4joqpq.mp3,Thai,2
00qzn4joqpq.mp3,Guahibo,3
00rsdjej2zi.mp3,Bhojpuri,1
00rsdjej2zi.mp3,Dutch,2
00rsdjej2zi.mp3,Hindi,3
00rvyrhbal4.mp3,Karakalpak,1
00rvyrhbal4.mp3,Gamo,2
00rvyrhbal4.mp3,Lampung Api,3
00ugeabdtax.mp3,Mundari,1
00ugeabdtax.mp3,Napu,2
00ugeabdtax.mp3,Kolami Northwestern,3
00wjvtaov3y.mp3,Biate,1
00wjvtaov3y.mp3,Gidar,2
00wjvtaov3y.mp3,Jingpho,3
00xpy54mdu3.mp3,Bali,1
00xpy54mdu3.mp3,Vietnamese,2
00xpy54mdu3.mp3,MofuGudur,3
00y2ylktk4h.mp3,Chayahuita Shawi,1
00y2ylktk4h.mp3,Avokaya,2
00y2ylktk4h.mp3,Tuva,3
012ju4lna45.mp3,Huave de San Mateo del Mar,1
012ju4lna45.mp3,Guahibo,2
012ju4lna45.mp3,Maka,3
015jyhgltgg.mp3,Altai Southern,1
015jyhgltgg.mp3,KalmykOirat,2
015jyhgltgg.mp3,Kazakh,3
01bndeq5plc.mp3,Nigerian Pidgin,1
01bndeq5plc.mp3,Mongolian Halh,2
01bndeq5plc.mp3,Pijin,3
01dy5pvmahm.mp3,Chamacoco,1
01dy5pvmahm.mp3,Akoose,2
01dy5pvmahm.mp3,Carib,3
01hfzpw5iaa.mp3,Bicolano Central,1
01hfzpw5iaa.mp3,Javanese,2
01hfzpw5iaa.mp3,Hiligaynon,3
01hku041uuq.mp3,Naga Ao,1
01hku041uuq.mp3,Jingpho,2
01hku041uuq.mp3,Totonac Highland,3
01it00jzpem.mp3,Khmer Northern,1
01it00jzpem.mp3,Thai,2
01it00jzpem.mp3,Bicolano Central,3
01jqn35omin.mp3,Chuj Ixtatan,1
01jqn35omin.mp3,Quechua Eastern,2
01jqn35omin.mp3,Tol,3
01l03ebl1gk.mp3,Malay,1
01l03ebl1gk.mp3,Sasak,2
01l03ebl1gk.mp3,Arabic Sudanese Spoken,3
01nowbl31u1.mp3,Themne,1
01nowbl31u1.mp3,Adiokrou,2
01nowbl31u1.mp3,Dan East,3
01pvsmm3iom.mp3,Javanese,1
01pvsmm3iom.mp3,Quechua North Junin,2
01pvsmm3iom.mp3,MofuGudur,3
0204zalrcjb.mp3,Themne,1
0204zalrcjb.mp3,Shilluk,2
0204zalrcjb.mp3,Kera,3
021j45ov3mj.mp3,Quechua Southern Conchucos Ancash,1
021j45ov3mj.mp3,Quechua MargosYarowilcaLauricocha,2
021j45ov3mj.mp3,Quechua Eastern,3
021slukbr1o.mp3,Arabic,1
021slukbr1o.mp3,Romani Sinti,2
021slukbr1o.mp3,Konso,3
022cyaldxqc.mp3,Ojibwa Northwestern,1
022cyaldxqc.mp3,Totonac Highland,2
022cyaldxqc.mp3,Nahuatl Highland Puebla,3
023aqiai1sq.mp3,Hindi,1
023aqiai1sq.mp3,Awadhi,2
023aqiai1sq.mp3,Bhojpuri,3
024wpblcyhv.mp3,Paez,1
024wpblcyhv.mp3,Guahibo,2
024wpblcyhv.mp3,Polish,3
024xypft40n.mp3,KalmykOirat,1
024xypft40n.mp3,Karakalpak,2
024xypft40n.mp3,Azerbaijani North,3
02cr2ll3xqy.mp3,Malay,1
02cr2ll3xqy.mp3,Terena,2
02cr2ll3xqy.mp3,Tepehua Pisaflores,3
02d4fp2fpzw.mp3,Bhojpuri,1
02d4fp2fpzw.mp3,Huambisa,2
02d4fp2fpzw.mp3,Garhwali,3
02fnnweybpe.mp3,Ipili,1
02fnnweybpe.mp3,Mazahua Central,2
02fnnweybpe.mp3,Azerbaijani North,3
02guq3o3gj5.mp3,Cofan,1
02guq3o3gj5.mp3,Mazahua Central,2
02guq3o3gj5.mp3,Chipaya,3
02hpqbn1znm.mp3,Chuj Ixtatan,1
02hpqbn1znm.mp3,Quechua Eastern,2
02hpqbn1znm.mp3,Kuman,3
02ippyeh005.mp3,Sanuma,1
02ippyeh005.mp3,Murle,2
02ippyeh005.mp3,Bicolano Central,3
02ofk5ni3y0.mp3,Kumyk,1
02ofk5ni3y0.mp3,Azerbaijani North,2
02ofk5ni3y0.mp3,Polish,3
02oou5lzw4z.mp3,Quechua Southern Pastaza,1
02oou5lzw4z.mp3,Mixtec Ayutla,2
02oou5lzw4z.mp3,Otomi Mezquital,3
02p1m0xlmrd.mp3,Tamasheq,1
02p1m0xlmrd.mp3,Arabic,2
02p1m0xlmrd.mp3,Bicolano Central,3
02s5tlag1we.mp3,Chinantec de Usila,1
02s5tlag1we.mp3,Mazahua Central,2
02s5tlag1we.mp3,Tepehua Pisaflores,3
02tiyadbei3.mp3,Sauria Paharia,1
02tiyadbei3.mp3,Mundari,2
